,confession,compound,positive,negative,neutral,timestamp,compound_smoothed,positive_smoothed,negative_smoothed,neutral_smoothed
0," ""My roommate is a double major in CS and Econ and has a 3.97 and he says he's not a nerd. What a liar.""
",0.2235,0.09,0.0,0.91,02/28/2019 21:30:00,0.8152852941176467,0.15860588235294126,0.024788235294117694,0.8164441176470595
1," ""Alright, so Iâm not even a Haas major, nor have I ever been pre-Haas, but I just wanted to say that the review system seems like bullshit. Not to say people in Greek life donât deserve to get into Haas, but does anyone else find it a little alarming that a few sororities have had either 100% or almost 100% acceptance into Haas? When Haas has an overall acceptance rate of 33%, I just feel like somethingâs off here, especially when consulting clubs and other business orgs seem to have really low acceptance rates.""
",0.8247,0.161,0.09,0.7490000000000001,02/28/2019 20:00:00,0.6363494537815121,0.14268907563025218,0.042543277310924416,0.8146966386554627
2," ""It makes me so sad when people are rude to professors/GSIs. I understand if an individual educator is callous/racist/sadistic and you respond accordingly, but talking over people, obviously watching Youtube during discussion, making fun of a GSI's accent, etc. does not make you 'cool', it just looks like you have no class and no respect for those who are simply trying to help you. Shout-out to Prof Terry Buehler, btw, I'm really enjoying/understanding the lectures and I didn't even take physics in high school.""
",0.8076,0.156,0.102,0.741,02/28/2019 18:30:00,0.48139863283774986,0.1297308985132515,0.05796622495151912,0.8123092113768589
3," ""Okay, gal here. So Iâve been in an open relationship for the last month or so and at first I was really excited about it, especially after being in monogamous relationships for the last 3 years. I was excited to flirt and have that moment of sexual tension with a stranger and have some nice, consensual, casual sex. But boy has the table turned.""Not only have 3/4 people Iâve hooked up with been minute men and left me immensely dissatisfied, but only one has even offered,...See More
",-0.0147,0.079,0.057,0.865,02/28/2019 17:00:00,0.35043283128635994,0.11973135100193927,0.07105707821590179,0.8092818358112478
4," ""Looking for Berkeley girls on Tinder (as a girl) is a nightmare. Ladies.. if youâre never actually dressing âfemâ then please donât fill your profile with fem pics. Are there actually no fem girls in Berkeley who like fem girls? ð©""
",0.3818,0.11199999999999999,0.051,0.8370000000000001,02/28/2019 15:30:00,0.24345204912734242,0.11269043309631548,0.08181583710407245,0.8056145119586298
5," ""In my R5B class today, we were talking about our attitudes towards Valentine's Day, and this one boy said how it reminded him about his vow to never fall in love with a girl after being ""bullied, abused and demonized"" by every girl he ever had a crush on. I'm in a relationship so frankly I don't give a shit, but I just have to say that YOU brought all this shit upon yourself, and it's definitely easier for YOU to come to terms with dying alone than to keep looking for an SO. Good luck, and I hope you don't whine as much next Valentine's Day.""
",0.9807,0.247,0.064,0.6890000000000001,02/28/2019 14:00:00,0.1604562863606972,0.10860814479638012,0.09024250161603108,0.8013072398190046
6," ""I need some advice and I don't know where to go. So here it is:""My boyfriend and I are both freshmen. We met here at Cal. At first, I thought he was the nicest, most intelligent, caring guy I'd ever met. Then, as time went on, his true colors started to show. We're both Asian and culturally, as I have noticed, many Asians can be quite colorists. I don't mean to offend anyone by saying this, but a lot of my Asian friends and I have noticed that our parents share anti-bla...See More
",0.9297,0.175,0.0,0.825,02/28/2019 12:30:00,0.10144554298642428,0.10748448610213318,0.09633707175177769,0.7963600193923724
7," ""I struggle a lot as a young, single GSI teaching upper division undergraduate classes when it comes to having crushes! Our first and foremost job is to be as helpful to students as possible, but the reality is that a majority of our ""free time"" is spent with undergraduates (when we teach sections). There's a few cases in my department where grad students have dated undergraduates, and there's not a strong departmental norm against it...but I'd also hate to ask an ex-stu...""See More
",-0.7307,0.07,0.138,0.7929999999999999,02/28/2019 11:00:00,0.06641981900452534,0.10931945701357527,0.10009954751131277,0.7907728506787375
8," ""Theres this one guy who works at Crossroads and he is hot AF. He always looks tired as fuck but he always greets every single Croaders with kindness. He deserves a hot gf and scholarship from Carol.""
",0.4019,0.14,0.1,0.76,02/28/2019 09:30:00,0.05591312217194608,0.11714389140271558,0.09500904977375618,0.7880434389140315
9," ""Listen up all you fuckers I live in Martinez and there happens to be a little courtyard in the middle over the past few weeks I have noticed a refrigerators worth amount of food piling up on the concrete path as well as along the sides. I am currently forced to walk by your three splattered eggs, onions, pomegranates and other items that are smelling up the whole damn courtyard. Why the fuck canât you just through your damn produce into the trash. I understand dumping l...""See More
",-0.9337,0.042,0.188,0.77,02/28/2019 08:00:00,-0.029490950226244456,0.11298099547511375,0.10339366515837162,0.78381719457014
10," ""As I was scrolling through my usual porn feed on tumblr, I saw a familiar face who I immediately recognized as one of the boys from the rowing team. Full disclosure, had an unashamed wank and felt a previously unknown sense of Cal pride. Go out there and rep the colors laddie. besides, everyone loves a good nude leak. #gobears""
",0.765,0.147,0.039,0.8140000000000001,02/27/2019 21:30:00,0.01659972850678748,0.12546877828054367,0.10432669683257975,0.770244343891407
11," ""Iâm in Moffitt taking a nap in the napping room and this big guy comes next to me and takes the pod next to mine (ok itâs one of those metal thingys not the actual pods that you can adjust and play music from). At first he lies down and seems to go to sleep but then soon after he takes his shoes off. No big deal you might think, but dude, just a few seconds later I could smell his feet and it was so gross. The area around me smelled like rotten milk. This guy has to be ...""See More
",-0.893,0.044000000000000004,0.13,0.826,02/27/2019 20:00:00,-0.049493393665158536,0.11792941176470656,0.10077104072398245,0.7813782805429907
12," ""So I have the hugest crush on my ace friend and nothing makes me happier than the idea of watching crappy sitcoms while eating pizza or cuddling in a toasty blanket with them on a rainy day while reading books and drinking hot cocoa.""I know that being aromantic and asexual are distinct, and maybe they'd be down for beer and boardgames in our jammies but I worry that as I am not ace myself, I don't know what I would do about the fact that in top of being a hopeless romantic I'm still a horny twenty-something and this is the prime time I have for participating in the good ol' hookup.
",-0.1994,0.099,0.12300000000000001,0.778,02/27/2019 18:30:00,0.05026932126696872,0.13031855203619983,0.09116470588235345,0.7785547511312259
13," ""lmao @these amateur kids who just happen to own a DSLR charging ~$90 an hour for their time: tha'ts a full time valuation of their time of $188,640 annual salary even factoring in vacation/weekend time working 40 hours a week like the fuck LOL, did your parents never teach you humility or what""to be fair its probably just the market price, so LMFAO WHAT THE FUCK LOL @anyone who fucking thinks that these are reasonable prices to be paying for people who've probably done 20 minutes of googling if that ""how to take grad photos"" and then try to rob you at literally 2x the equivalent hourly pay of an engineer or compsci or business major
",0.857,0.155,0.09300000000000001,0.752,02/27/2019 17:00:00,0.2565245248868791,0.156043438914028,0.07000090497737596,0.7739438914027191
14," ""I started saying ""I love you"" to people I know whenever I see them on campus and it's amazing. It feels great, makes my day, and best of all, it's priceless seeing the looks on my ex's face""
",0.9538,0.337,0.0,0.6629999999999999,02/27/2019 15:30:00,0.3558149321266987,0.16420361990950313,0.06867963800905016,0.7670461538461582
15," ""CW: Death of a student""I thought I saw you on campus today walking up the steps of MLK. But it hit me a second later that you are not actually here on this earth anymore. When you passed in October, I struggled to comprehend what was happening simply because I always thought I would be able to reach out to you and tell you how much I liked you the next time that I saw you.Of course, that phrase ""next time"" is still haunting me to this very day. ...See More
",-0.5187,0.053,0.09,0.857,02/27/2019 14:00:00,0.40006045248868993,0.16712669683258008,0.059313122171946044,0.7735601809954793
