confession,compound,positive,negative,neutral,timestamp
" ""Left-handed archer shooting next to me today, you're pretty cute""
",0.7351,0.437,0.0,0.563,02/28/2019 19:30:00
" ""love running but your friends don't run?""come run with us, running clubmeet @ z-center...See More
",0.775,0.36,0.0,0.64,02/28/2019 19:30:00
" ""New Vassar has to be the shittiest and most unoriginal dorm name thought of.""
",-0.6597,0.0,0.253,0.747,02/28/2019 19:30:00
" ""Today in 6.08 my lab partner was so kind and patient with me. I was having a rough morning and was seriously struggling to understand the lab but they were so nice about it and helped me learn the material. They clearly knew what they were doing and could have easily finished like a half hour early and ditched but they didn't and their kindness really brightened my day! Thank you to that person and I hope this post can spread some positivity.""
",0.9777,0.284,0.062,0.654,02/28/2019 19:30:00
" ""Marla is low key brilliant and high key nice. I don't know how you do it, but you're such a queen! Thank you for being you!""
",0.7639,0.274,0.052,0.674,02/28/2019 19:29:00
" ""Did you ever hear the tragedy of fructose the ketone-containing monosaccharide?""'No'I thought not. It's not a story the corn industry would tell you. It's a low-carb legend. Fructose was a ketose so powerful and so wise, it could use biochemistry to influence the liver's mitochondria to create ... lipids. It had such a knowledge of metabolism, it could even keep the ones who ate it ... from being healthy. ...See More
",0.7513,0.151,0.056,0.793,02/28/2019 19:29:00
" ""You guys really need to cool it on the dorm spam. There's no reason I need *3 reminder emails in a half hour* for your event I'm not interested in. If you're emailing thousands of people, you need to be respectful.""
",-0.5258,0.058,0.156,0.786,02/28/2019 19:29:00
" ""Ok, I got called out in confessions a few days ago and I just wanna say thank you to whoever did that. Honestly, you made my entire week!! HOWEVER, you still haven’t revealed yourself and I’m utterly clueless!!!!! Pls reveal yourself or at least drop a hint😭""
",0.7308,0.167,0.043,0.79,02/28/2019 19:29:00
" ""the course 10 bunker is so lit. I love my chemEs""
",0.6682,0.332,0.0,0.668,02/28/2019 19:28:00
" ""There's this really cute Cuban dude in my 8.282 class and everyday when he walks in I can no longer focus on what's going on in class because he's so damn fine. If you're reading this please talk to me because I'm too shy to make the first move""
",0.0785,0.139,0.133,0.728,02/28/2019 19:28:00
" ""Where do I find a LGBTQ+ friendly haircut place that doesn't ridiculously overcharge? I miss Taiwan and $3 haircuts...""
",0.6888,0.339,0.0,0.661,02/28/2019 19:27:00
" ""I don’t sign up in advance for the 6.004 checkoffs so I have an excuse to talk to the cute LA who does the walk-ins""
",0.552,0.172,0.0,0.828,02/28/2019 19:27:00
" ""To the person in 18.102 that constantly squeezes their water bottle and squirts out water:""PLEASE STOP!The sound that this makes is VERY, VERY DISGUSTING and annoying! It is very easy to drink water without distracting the entire classroom. I am sitting in the opposite side of the room and I can still hear you. I am sure that I am not the only one that is annoyed because I see other people staring at you whenever you do it. I know it probably bothers me more than it should, but please stop.
",-0.6511,0.083,0.128,0.789,02/28/2019 19:25:00
" ""MIT professors are way kinkier than we give them credit for. A lot of them have this weird LaTeX fetish, and some of them even try get us into LaTeX as well. No thanks, 6.042, I'll stick to my pdf fetish""
",0.5461,0.163,0.087,0.75,02/28/2019 19:25:00
" ""@19940 @20067 @20342 are yall truly koreaboos if you're not attending KSA's culture show https://www.facebook.com/events/770587429993641/""SUN, MAR 3 AT 5 PM ESTKSA Culture Show 2019: MIT CastleWalker Memorial · Cambridge, MAArt · 111 peopleInterested
",0.4404,0.094,0.0,0.906,02/28/2019 19:25:00
" ""I don't really understand some girls' obsession with muscular guys. when you hug them does it feel like hugging a large brick??? my boyfriend is squishy and I think it makes him better for hugging. discuss""
",0.905,0.325,0.053,0.622,02/28/2019 19:25:00
" ""Bruh avocado slices are whack. Like how the fuck did they cut up guacamole""
",-0.4767,0.131,0.293,0.576,02/28/2019 19:24:00
" ""Can someone please tell me how the duck those MIT videos about students are made. Why isn't my work being highlighted?""
",0.3182,0.103,0.0,0.897,02/28/2019 19:24:00
" ""Whoever was watching Mankitsu Happening in Stata, your headphones weren’t plugged in.""
",0.0,0.0,0.0,1.0,02/28/2019 19:24:00
" ""Amazon: u want this""Me: I want thatBalance: No u dont
",-0.1531,0.295,0.25,0.455,02/28/2019 19:24:00
" ""Now get this: I was walking to class this morning and wanted to go through the quad, past the tent for the College of Computing event. A security guard at the door stopped me saying ""you can't do that"". ""How do I get to class?"" I asked. The security guard again said ""you can't"". I thought they misheard me and asked a couple more times, and they kept saying I couldn't until someone else came out and said I could go around.""Now obviously I'm not claiming that they woul...See More
",0.4404,0.056,0.022,0.922,02/28/2019 19:23:00
" ""Alex, this is M. I don’t think this is gonna work. I’m not brave enough to say this to your face, but I feel like this relationship needs to end. Sorry""
",0.2292,0.1,0.102,0.798,02/28/2019 19:21:00
" ""can you guys, please, stop smoking weed on campus (just an asthmatic trying to breathe)""
",0.0258,0.131,0.126,0.743,02/28/2019 19:20:00
" ""Petition for Ivan to get a facebook account""
",0.0,0.0,0.0,1.0,02/28/2019 19:18:00
" ""@ girl in 009 office hours, did your bidirectional bfs end up working or not?""
",0.0,0.0,0.0,1.0,02/28/2019 19:18:00
" ""I just got back from leave and now I feel like I have no friends.""
",0.0258,0.157,0.214,0.629,02/28/2019 19:17:00
" ""So I sort of accidentally blurted out that I love my best friend, to him. But he loves me too :)""
",0.8853,0.436,0.07,0.494,02/28/2019 19:17:00
