,confession,compound,positive,negative,neutral,timestamp,compound_smoothed,positive_smoothed,negative_smoothed,neutral_smoothed
0," ""Left-handed archer shooting next to me today, you're pretty cute""
",0.7351,0.43700000000000006,0.0,0.563,02/28/2019 19:30:00,0.5562123529411763,0.31439411764705877,0.05476176470588238,0.6308441176470593
1," ""love running but your friends don't run?""come run with us, running clubmeet @ z-center...See More
",0.775,0.36,0.0,0.64,02/28/2019 19:30:00,0.5246770588235292,0.2895323529411764,0.06264243697478994,0.647825210084034
2," ""New Vassar has to be the shittiest and most unoriginal dorm name thought of.""
",-0.6597,0.0,0.253,0.747,02/28/2019 19:30:00,0.4949862055591465,0.2667531674208144,0.0690310277957337,0.6642158047834522
3," ""Today in 6.08 my lab partner was so kind and patient with me. I was having a rough morning and was seriously struggling to understand the lab but they were so nice about it and helped me learn the material. They clearly knew what they were doing and could have easily finished like a half hour early and ditched but they didn't and their kindness really brightened my day! Thank you to that person and I hope this post can spread some positivity.""
",0.9777,0.284,0.062,0.654,02/28/2019 19:30:00,0.4671397931480282,0.24605656108597276,0.07392753716871366,0.6800159017453138
4," ""Marla is low key brilliant and high key nice. I don't know how you do it, but you're such a queen! Thank you for being you!""
",0.7639,0.27399999999999997,0.052000000000000005,0.674,02/28/2019 19:29:00,0.44113782159017434,0.22744253393665148,0.07733196509372982,0.6952255009696189
5," ""Did you ever hear the tragedy of fructose the ketone-containing monosaccharide?""'No'I thought not. It's not a story the corn industry would tell you. It's a low-carb legend. Fructose was a ketose so powerful and so wise, it could use biochemistry to influence the liver's mitochondria to create ... lipids. It had such a knowledge of metabolism, it could even keep the ones who ate it ... from being healthy. ...See More
",0.7513,0.151,0.055999999999999994,0.7929999999999999,02/28/2019 19:29:00,0.4169802908855848,0.21091108597285058,0.07924431157078218,0.7098446024563675
6," ""You guys really need to cool it on the dorm spam. There's no reason I need *3 reminder emails in a half hour* for your event I'm not interested in. If you're emailing thousands of people, you need to be respectful.""
",-0.5258,0.057999999999999996,0.156,0.7859999999999999,02/28/2019 19:29:00,0.3946672010342597,0.19646221719457005,0.07966457659987075,0.7238732062055595
7," ""Ok, I got called out in confessions a few days ago and I just wanna say thank you to whoever did that. Honestly, you made my entire week!! HOWEVER, you still havenât revealed yourself and Iâm utterly clueless!!!!! Pls reveal yourself or at least drop a hintð­""
",0.7308,0.16699999999999998,0.043,0.79,02/28/2019 19:29:00,0.37419855203620117,0.18409592760181098,0.0785927601809959,0.7373113122171986
8," ""the course 10 bunker is so lit. I love my chemEs""
",0.6682,0.332,0.0,0.6679999999999999,02/28/2019 19:28:00,0.3360033484162914,0.17915113122172044,0.06585610859728543,0.7549927601809997
9," ""There's this really cute Cuban dude in my 8.282 class and everyday when he walks in I can no longer focus on what's going on in class because he's so damn fine. If you're reading this please talk to me because I'm too shy to make the first move""
",0.0785,0.139,0.133,0.728,02/28/2019 19:28:00,0.457512941176473,0.2023429864253405,0.030517647058823715,0.7671393665158411
10," ""Where do I find a LGBTQ+ friendly haircut place that doesn't ridiculously overcharge? I miss Taiwan and $3 haircuts...""
",0.6888,0.33899999999999997,0.0,0.6609999999999999,02/28/2019 19:27:00,0.30116479638009214,0.186447963800906,0.05886968325791889,0.7546823529411806
11," ""I donât sign up in advance for the 6.004 checkoffs so I have an excuse to talk to the cute LA who does the walk-ins""
",0.552,0.172,0.0,0.828,02/28/2019 19:27:00,0.3186232579185538,0.19866244343891512,0.06832760180995512,0.7330099547511353
