,confession,compound,positive,negative,neutral,timestamp,compound_smoothed,positive_smoothed,negative_smoothed,neutral_smoothed
0," ""How do you mend a broken heart? ð¥""
",-0.4767,0.0,0.341,0.659,02/24/2019 17:15:00,-0.15391352941176478,0.049023529411764744,0.17837352941176476,0.772417647058824
1," ""Fun fact ASUCI wastes our money and is corrupt as hell. They are out here buying hundred dollar jackets with our money instead of actually paying for things that go back to us. They take the leftover money at the end of the year and spend it buying everyone a hydro flask saying ""well it'll just go to waste otherwise"". Maybe you should fucking spend it on us or give us that part of our tuition money back you corrupt fucks.""
",-0.4588,0.061,0.083,0.856,02/27/2019 13:30:00,-0.09955844537815126,0.07382058823529418,0.16445630252100843,0.7614672268907567
2," ""Sometimes I feel like a guy I knew in middle school/high school is my soulmate... Back in middle school, he asked me out, but I had to say no cause my parents wouldnât allow me to date.""Fast forward a few years, he agreed to be my first kiss (no strings attached) cause I just wanted to get it over with. He asked me out on a date sometime around then and then sort of took it back? Lol. He said he wasnât ready for a relationship. We used to text all the time and were r...See More2828Like
",0.9274,0.17,0.027000000000000003,0.802,02/27/2019 13:25:00,-0.050734308338720016,0.09533403361344546,0.15169227537168714,0.75266742081448
3," ""so i came out as bi to my ex when we were together(we broke up a month after) and he gave me so much shit. he called me a slut and said ""i fucking knew you had a crush on '__(my best friends name)__'."" First of all, i don't have a crush on my best friend. Second, who the fuck do you think you are? We were together for 6 years. I've had no self-discovery and you come out with this shit? I just can't believe i spent 6 years of my life with you. you don't even know how to fucking clean or cook. -.-""Anyway, how's ya'll's days going?
",-0.6253,0.138,0.185,0.677,02/27/2019 13:24:00,-0.007441118293471105,0.11356386554621858,0.1400814479638009,0.7460182288299939
4," ""What does it mean if I had more sex in high school than in college... is there something wrong with me? Lol""
",-0.0772,0.11199999999999999,0.124,0.763,02/27/2019 13:23:00,0.03032112475759552,0.12851008403361355,0.12962382029734967,0.7415196509372983
5," ""Sometimes I wonder why I do this to myself. Why I am juggling 20 units to turn in assignments late, to believe that I am 25 words from success. Why I am so willing to push the limits of my schedule and my sanity on something I have no particular interest in. I am not saying I hate writing. In fact, I agree that itâs necessary to develop the skill to write and argue. My problem is that I cannot argue for or against what I do not have any interest in, such as humanities....""See More
",0.7578,0.151,0.096,0.753,02/27/2019 13:23:00,0.06255242081447984,0.14017268907563035,0.12031939237233352,0.7391716871363934
6," ""I feel like my bf has really made my college experience better. We explore so many new places and I can pour all my love into him and have it reciprocated. Of course I can be happy without an SO but I live such a fulfilling life with when Iâm with him. I donât need him for me to be happy and successful but I want him in my life (and in my arms and in my bed).""
",0.9604,0.23800000000000002,0.0,0.762,02/27/2019 13:22:00,0.08925276987718186,0.14855168067226904,0.11216816418875239,0.738974337427279
7," ""My friend went to her first rave and I'm scared she is starting to change and turn into an ABG/rave slave. She always says that she's wholesome but I don't know about that now. I'm scared that she is going to drop me as a friend because I am not into that stuff.""
",-0.2617,0.107,0.141,0.752,02/27/2019 13:21:00,0.11042217194570195,0.15364705882353025,0.10517013574660693,0.7409276018099589
8," ""i literally feel so proud of my crystal clear pee so i never flush and the next person that comes in thinks its been flushed...hey im trying to conserve water while not conserving my own lmaoo weird flex of my bladder but Opee""
",0.4489,0.096,0.03,0.8740000000000001,02/27/2019 13:20:00,0.061564524886878136,0.14332036199095102,0.12824524886877897,0.7283375565610901
9," ""College life gives me so much anxiety and stress. Iâm not as outgoing so itâs very hard for me to be apart of clubs because everyone socializes and I just suck at that. Then thereâs the worry of grades. Throughout high school only getting decent grades helped me go to college. I feel like if thatâs gone then Iâm just useless.""
",-0.8727,0.036000000000000004,0.209,0.754,02/27/2019 13:20:00,-0.022025791855203695,0.1339665158371048,0.12030226244343957,0.7458018099547553
